城市,省份,板块,维度,状态,条件说明,来源名称/链接,来源日期
中山,广东省,提取,既提又贷,支持,2026年5月1日起，以住房公积金贷款（含组合贷款）购买本市自住住房并提取住房公积金支付首付款的，当次住房公积金贷款申请额度不扣减已提取的首付款金额，实现既提又贷。,,
中山,广东省,提取,首付直付,支持,贷款购买本市新建商品住房的，产权人及其家庭成员可提取个人账户余额用于支付首付款，总额不超商品房买卖合同约定的首付款，公积金中心审核后直接将资金转入房地产开发企业账户，无需先垫付。,,
中山,广东省,提取,代际互助,支持,首付款提取对象含产权人及其家庭成员（配偶、子女、父母、配偶的父母），购买新建商品住房不受提取间隔及房产份额限制；还贷时账户余额不足的，差额可由子女、父母、配偶的父母提取。,,
中山,广东省,提取,按月冲还商贷,有条件支持,仅限与公积金中心签约的15家银行（建行、工行、农行、中行、交行、农商、招行、浦发、广发、兴业、中信、邮储、渤海、东莞、光大等）办理的中山市住房贷款，须签订委托自动转账协议、按月审批划转（还多少取多少）。 中山市开办住房公积金委托自动转账业务：申请个人住房贷款（含商业性个人住房贷款、组合贷款）购买自住住房，若贷款行在签约银行范围内，可办理自动转账，市公积金中心后台按月将借款人及配偶公积金可提取额划转至绑定银行卡。,,
中山,广东省,提取,物业费提取,有条件支持,归入其他住房消费（物业水电费）提取通道，非独立的物业费提取情形。职工及配偶在本市有房产、无购房建造翻建大修提取情形且正常缴存满1个月，可每30日提取前一月缴存额的50%，单次上限900元，月缴存额不足1200元且账户余额充足按600元提取。2026年5月1日起，已办还贷提取者还贷期间每半年可再提取一次，按月冲还贷须留存1个月还款额。线上办理。 归入其他住房消费（物业水电费）提取通道，非独立的物业费提取情形。职工及配偶在本市有房产、无购房建造翻建大修提取情形且正常缴存满1个月，可每30日提取前一月缴存额的50%，单次上限900元，月缴存额不足1200元且账户余额充足按600元提取。2026年5月1日起，已办还贷提取者还贷期间每半年可再提取一次，按月冲还贷须留存1个月还款额。线上办理。,,
中山,广东省,提取,住房装修提取,不支持,不允许。现行《中山市住房公积金提取管理实施细则》（2025年8月1日印发）第四条提取情形不含装修，住房消费类仅含购买、建造、翻建、大修自住住房及物业费等其他住房消费。装修须按大修办理：房产须在中山市，凭市级以上房屋安全鉴定部门出具的《房屋安全鉴定书》且结果为危房（C/D级），自签发日起一年内提取一次，另需不动产权证书、施工合同、修缮发票。,,
中山,广东省,缴存-灵活就业,支持,,中山市人民政府（中山市灵活就业人员缴存使用住房公积金管理办法）,https://www.zs.gov.cn/zwgk/gzdt/tzgg/content/mpost_2360414.html,2023-12
中山,广东省,缴存-缓缴,支持,,中山市住房公积金管理中心（中山市住房公积金管理办法）,https://zszfgjj.zs.gov.cn/zwgk/qt/xxgkml/bmwj/gfxwj/content/post_1447060.html,2024
江门,广东省,贷款,单双职工额度差异,支持,单缴存与双缴存职工最高贷款额度不同,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/xzzx/zfgjjgl/content/post_1540844.html,政府网站
江门,广东省,贷款,首套二套额度差异,支持,首套与二套最高贷款额度不同（首套更高）,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/xzzx/zfgjjgl/content/post_1540844.html,政府网站
江门,广东省,贷款,绿色建筑上浮,支持,购买一星级以上绿色建筑住宅贷款额度上浮20%,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/xzzx/zfgjjgl/content/post_1540844.html,政府网站
江门,广东省,贷款,二孩家庭上浮,支持,多子女家庭贷款额度上浮（首套1.5倍/二套1.3倍）,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/xzzx/zfgjjgl/content/post_1540844.html,政府网站
江门,广东省,贷款,三孩家庭上浮,支持,多子女家庭贷款额度上浮（含三孩）,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/xzzx/zfgjjgl/content/post_1540844.html,政府网站
江门,广东省,贷款,人才青年上浮,支持,高层次人才及人才优粤卡贷款额度上浮,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/xzzx/zfgjjgl/content/post_1540844.html,政府网站
江门,广东省,贷款,家庭共享额度代际互助,支持,购房提取代际互助，父母子女可提取公积金支持购房,https://www.jiangmen.gov.cn/newzwgk/zfgb/2025/7/content/post_3349174.html,政府网站
江门,广东省,贷款,商转公,支持,开办商业贷款转公积金贷款业务,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/zcfg/zcjd/content/post_3484539.html,政府网站
江门,广东省,贷款,最长贷龄30年,支持,公积金贷款期限最长30年,https://www.jiangmen.gov.cn/bmpd/jmszfhcxjsj/xzzx/zfgjjgl/content/post_1540844.html,政府网站
江门,广东省,提取,购房一次性提取,支持,以自有资金全额付款购房且不申请住房贷款的，可在签订购房合同或不动产权证书发证日后两年内提取一次，提取金额不超过购房总价款；付首付并办贷款的提取额不超首期款，限一次。,,
江门,广东省,提取,租房提取限额,支持,连续足额缴存满3个月且本人及配偶在江门无房，首次申请额不超申请时每月可提取金额上限的6倍，此后间隔不少于3个月可累计提取。租住商品住房：月缴存额低于1000元的月上限500元，高于1000元的为当月应缴存额的50%。,,
江门,广东省,提取,多孩租房上浮,未确认,现行《江门市住房公积金提取管理办法》（2025年版）未设多子女家庭租房提取额度上浮条款；2025年年度报告仅提及提高多子女家庭公积金贷款额度。检索未见江门政府文件明确租房上浮，故标记未确认。,,
江门,广东省,提取,加装电梯提取,支持,本人及配偶和双方父母的自住住房加装电梯的，可在《特种设备使用登记证》发证日起一年内提取一次，提取金额不超过增设电梯支付或分摊的费用；2025年156名职工提取615.62万元。,,
江门,广东省,提取,车位购置提取,有条件支持,2026年8月8日至12月31日阶段性政策，仅限与自有住房同小区的一手车位（库） 阶段性新政：职工本人或配偶购买与自有住房同小区一手车位（库），自买卖合同签订之日起一年内可提取一次；全款购买提取不超车位总价，贷款购买不超车位首付款；二手车位暂不纳入。,,
江门,广东省,提取,大病救助提取,有条件支持,须为本人或直系亲属患列入江门市基本医疗保险特定病种疾病且造成家庭生活严重困难 本人或直系亲属患列入本市基本医疗保险特定病种疾病造成家庭生活严重困难的，可在医疗收费票据或发票开具之日起一年内申请，提取金额不超过个人缴纳的医疗费用；需继续治疗的间隔不少于3个月。,,
江门,广东省,提取,既提又贷,支持,办法第七条明确：提取住房公积金支付部分购房首期款且申请住房贷款的，可在签订购房合同后两年内提取一次，提取额不超购房首期款（完税金额或成交金额较低者与贷款金额的差额），即允许既提又贷。,,
江门,广东省,提取,首付直付,支持,可用公积金直接支付新建商品住房首期款：购买预售商品住房的提取资金划入商品房预售专用账户，现售商品住房划入开发商指定账户，存量房划入存量房资金监管账户，无需先自筹垫付再提取。,,
江门,广东省,提取,代际互助,有条件支持,限直系亲属（配偶及职工本人的父母、子女）首次购买自住住房 直系亲属首次购买自住住房的，可参照购房提取与偿还贷款本息提取规定提取住房公积金；2025年已取消直系亲属购房提取的面积限制，全年861名职工提取住房公积金8213.71万元。,,
江门,广东省,提取,按月冲还商贷,有条件支持,本市商贷须为公积金贷款承办银行办理且贷款未结清无逾期；异地商贷自2026-02-28起全国范围可按月提取（须无逾期、月提取额不超过最近一期月还款本息、每次申请有效期12个月）。 江门市支持商贷按月提取还贷：本市住房贷款可选择'按月提取还贷'方式（每月最高提取不超过月平均应还本息额）；2026年2月28日起新增'按月提取偿还异地住房贷款（含商业贷款）'业务，全国异地购房的江门缴存职工均可按月提取。,,
江门,广东省,提取,物业费提取,未确认,现行《江门市住房公积金管理委员会关于江门市住房公积金提取管理办法》（江公积金管委会〔2025〕2号，2025年9月1日施行，有效期至2030年8月31日）第四条14项提取条件中，住房消费类为购买自住住房、建造翻建大修自住住房、偿还购房贷款本息、无房租房、加装电梯、直系亲属首次购房，不含物业费。江门暂未出台物业费提取细则，仅国家条例层面授权（9月20日施行）。,,
江门,广东省,提取,住房装修提取,不支持,不允许。现行《江门市住房公积金管理委员会关于江门市住房公积金提取管理办法》（江公积金管委会〔2025〕2号，2025年9月1日施行）第四条住房消费类提取条件只含购买、建造、翻建、大修自住住房，不含装修；大修须提供达《房屋完损等级评定标准》严重损坏房、危险房等级或《危险房屋鉴定标准》C、D级的房屋安全鉴定报告及不动产权证书、修缮费用发票，2年内提取一次。,,
江门,广东省,缴存-灵活就业,未采集到相关信息,,江门市人民政府/江门市住房公积金管理中心,https://www.jiangmen.gov.cn/jmzjj/gkmlpt/content/2/2911/post_2911299.html,
江门,广东省,缴存-缓缴,支持,单位因连续三年亏损、缴存住房公积金确有困难，经职工代表大会或工会讨论通过，公积金中心审核、管委会批准后可缓缴,江门市人民政府—江门市住房公积金缴存管理办法,https://www.jiangmen.gov.cn/jmzjj/gkmlpt/content/2/2911/post_2911299.html,2023-09
湛江,广东省,贷款,单双职工额度差异,支持,,https://www.zhanjiang.gov.cn/zfgjj/gkmlpt/content/2/2175/post_2175214.html,政府网站
湛江,广东省,贷款,首套二套额度差异,不支持,,https://www.zhanjiang.gov.cn/hygq/content/post_2063016.html,政府网站
湛江,广东省,贷款,绿色建筑上浮,支持,,https://news.southcn.com/node_54a44f01a2/a542ac0253.shtml,官媒
湛江,广东省,贷款,二孩家庭上浮,支持,,https://www.zhanjiang.gov.cn/hygq/content/post_2063016.html,政府网站
湛江,广东省,贷款,三孩家庭上浮,支持,,https://www.zhanjiang.gov.cn/hygq/content/post_2063016.html,政府网站
湛江,广东省,贷款,人才青年上浮,支持,,https://www.zhanjiang.gov.cn/hygq/content/post_2063016.html,政府网站
湛江,广东省,贷款,家庭共享额度代际互助,有条件支持,限本市行政区域内首次购房时，职工父母或者子女可同时提取住房公积金账户存储余额（代际互助提取）,https://www.zhanjiang.gov.cn/zjsfw/bmdh/zfgjj/zwgk/bmwj/gfxwj/content/post_2176247.html,政府网站
湛江,广东省,贷款,商转公,支持,,https://www.zhanjiang.gov.cn/zjsfw/bmdh/zfgjj/zwgk/bmwj/gfxwj/content/post_1991302.html,政府网站
湛江,广东省,贷款,最长贷龄30年,支持,,https://www.zhanjiang.gov.cn/attachment/0/256/256018/2064588.pdf,政府网站
湛江,广东省,提取,购房一次性提取,支持,购买预售商品房自合同登记备案之日起三年内、现售商品房自不动产权登记之日起三年内提出申请；提取额不超过实际支付的购房款（不含住房按揭贷款额），二手房按契税计税金额与成交价孰低者计算。,,
湛江,广东省,提取,租房提取限额,支持,无房职工租房自住每季度可提取一次，个人每月不超1000元、夫妻双方每月不超2000元；租住公租房、保障性住房按实际房租提取；2023年及以后毕业的全日制大专以上毕业生可按实际缴存额全额提取。,,
湛江,广东省,提取,多孩租房上浮,支持,有两个及以上未成年子女的家庭无自有住房且租赁住房的，每季度可提取一次，个人每月租房提取额度不超过1200元、夫妻双方每月不超过2400元，较普通1000元/2000元标准上浮约20%。,,
湛江,广东省,提取,加装电梯提取,支持,城镇老旧小区住房加装电梯，以及出资为自有住宅（自建房除外）更新更换满15年的老旧电梯，可自电梯竣工验收之日起三年内一次性提取，提取额不超过安装或更新改造电梯的个人实际支付费用。,,
湛江,广东省,提取,车位购置提取,不支持,现行办法第四条列举的十二类提取情形不含购买车位、车库，且第十四条明确购买、建造、翻建、大修商业用房、商住两用房及偿还其贷款本息不得提取，湛江车位提取无政策依据。,,
湛江,广东省,提取,大病救助提取,支持,本人或配偶、父母、子女患重大疾病（含恶性肿瘤、慢性肾功能衰竭等14类）造成家庭生活严重困难的，自住院发票开具之日起三年内提出申请，提取额不超过个人所负担的住院医疗费用。,,
湛江,广东省,提取,既提又贷,支持,公积金中心答复明确：提取本人及父亲公积金用于首期房款支出后，该套房的公积金贷款额度不受提取影响；在湛江市范围内购买一手自住住房可预提公积金付首付后再办理公积金按揭贷款。,,
湛江,广东省,提取,首付直付,支持,本市行政区域内新建商品房楼盘经公积金中心审核符合规定的，可办理预提住房公积金交付首期房款业务；凭认购书、保证书、转账委托书等办理，预提资金直接转划至房企预售房款监控账户。,,
湛江,广东省,提取,代际互助,有条件支持,限在本市行政区域内首次购房，父母或子女可同时提取，且仅限首期房款支出 在本市行政区域内首次购房的，职工父母或者子女可同时提取住房公积金账户存储余额用于首期房款支出；偿还购房贷款本息则不能提取直系亲属的住房公积金，二手车位与异地房不适用。,,
湛江,广东省,提取,按月冲还商贷,有条件支持,"仅限已与中心开通商贷自动划转（委托提取还贷）的合作银行（如南粤银行等），须已正常还款满1个月且无逾期、账户余额不少于月缴存额 湛江商贷可办理""委托提取还贷（自动划转）""业务，每月从公积金账户自动划转偿还商贷；但并非所有银行均支持，以已签约自动划转的合作银行为准（如南粤银行）。",,
湛江,广东省,提取,物业费提取,未确认,现行《湛江市住房公积金管理委员会关于湛江市住房公积金提取管理办法(修订)》（湛公积金委〔2026〕2号，2026年5月7日施行，有效期5年）第四条12项提取情形中，住房消费类仅为购买建造翻建大修自住住房、偿还购房贷款本息、无房租房、老旧小区加装电梯、老旧电梯更新改造，不含物业费。湛江本轮刚完成修订仍未新增物业费提取，本地细则尚未出台。,,
湛江,广东省,提取,住房装修提取,不支持,不允许。现行《湛江市住房公积金管理委员会关于湛江市住房公积金提取管理办法(修订)》（湛公积金委〔2026〕2号，2026年5月7日施行）第四条仅允许购买、建造、翻建、大修自住住房提取，不含装修。大修须提供经房地产管理部门认证鉴定机构出具的《房屋安全鉴定书》（危险性鉴定C级及以上）及不动产权证书、购建材发票，自鉴定书发出之日起三年内一次性申请。,,
湛江,广东省,缴存-灵活就业,有条件支持,需具有本市常住户口或取得本市居住证，在本市以个人或个体工商户名义正常缴纳社会保险，年满18周岁且男性未满60周岁、女性未满55周岁,湛江市人民政府《湛江市自由职业人员住房公积金缴存使用暂行办法》,https://www.zhanjiang.gov.cn/zwgk/zfgb/2022/9/content/post_2061728.html,2022-05
湛江,广东省,缴存-缓缴,支持,单位因连续两年亏损或被政府定为困难企业、已依法批准缓缴社保，并经职代会/工会通过的，可申请暂缓缴存（缓缴）一年,湛江市人民政府《湛江市住房公积金缴存管理办法》,https://www.zhanjiang.gov.cn/zjzcai/post/49739,2025
清远,广东省,贷款,单双职工额度差异,支持,,https://www.qingcheng.gov.cn/qyqcczj/gkmlpt/content/2/2096/post_2096716.html,政府网站
清远,广东省,贷款,首套二套额度差异,不支持,,https://www.qingcheng.gov.cn/qyqcczj/gkmlpt/content/2/2096/post_2096716.html,政府网站
清远,广东省,贷款,绿色建筑上浮,支持,,https://www.gdqy.gov.cn/channel/qysgjj/ywzn/dhyw/content/post_2126944.html,政府网站
清远,广东省,贷款,二孩家庭上浮,支持,,https://www.qingcheng.gov.cn/qyqcczj/gkmlpt/content/2/2096/post_2096716.html,政府网站
清远,广东省,贷款,三孩家庭上浮,支持,,https://www.qingcheng.gov.cn/qyqcczj/gkmlpt/content/2/2096/post_2096716.html,政府网站
清远,广东省,贷款,人才青年上浮,未检索到,未检索到公开来源,,空
清远,广东省,贷款,家庭共享额度代际互助,不支持,,https://www.gdqy.gov.cn/channel/qysgjj/ywzn/dhyw/content/post_2126944.html,政府网站
清远,广东省,贷款,商转公,支持,,https://www.gdqy.gov.cn/xxgk/zzjg/zfjg/qyszjj/zwgk/gzdt/content/post_2131779.html,政府网站
清远,广东省,贷款,最长贷龄30年,有条件支持,贷款期限按借款人年龄核定，男性最长可贷至68周岁、女性至63周岁,https://k.sina.cn/article_7517400647_1c0126e4705908xih2.html,其他新闻
清远,广东省,提取,购房一次性提取,支持,购买非按揭自住住房（一次性付款或分期付款）的，自购房合同签订日期或房管部门备案日期起三年内可申请提取一次，买受人及其配偶累计提取总额不超过该房屋购房款，并按各自产权比例确定上限。,,
清远,广东省,提取,租房提取限额,支持,2025年3月10日起：租赁合同已在清远市住房租赁监管平台备案的最高限额全市统一为2500元/月/户，未备案的提取额度为1000元/月/人；租住公租房等保障性租赁住房按实际租金提取，间隔已缩至3个月。,,
清远,广东省,提取,多孩租房上浮,支持,多子女缴存人（有两个或两个以上子女，且至少有一名子女未满18周岁）租住商品房的，按实际租金提取，不受2500元/月/户最高限额限制；其他缴存人仍按备案与否适用2500元/1000元限额。,,
清远,广东省,提取,加装电梯提取,支持,为本人、配偶或双方父母拥有所有权且已建成投入使用的四层及以上多业主无电梯住宅加装电梯的，可在电梯《特种设备使用登记证》核发后三年内提取一次，总额不超该户实际分摊费用；老旧电梯更新改造亦可。,,
清远,广东省,提取,车位购置提取,不支持,清远将购置车位与商铺、新房装修、改善型装修及非购房贷款并列列为不得提取情形，购买车位、车库不能提取住房公积金；2025年优化政策征求意见时相关放宽建议明确未被采纳。,,
清远,广东省,提取,大病救助提取,有条件支持,须经基本医疗保险支付后，当年个人负担医疗费用累计超过本市上一年度居民人均可支配收入的50% 缴存人或配偶、子女、父母当年住院及门诊医疗费用经医保按规定支付后，累计个人负担超过本市上一年度居民人均可支配收入50%的部分可提取，每年一次；未经医保支付的不得申请。,,
清远,广东省,提取,既提又贷,支持,已办理支付首期款提取业务的缴存人，在业务办结后三个月内为该房屋申请公积金贷款的，核定公积金贷款额度时合并计算本次支付首期款提取金额，即提取首付不减少该套住房的可贷额度。,,
清远,广东省,提取,首付直付,支持,可办理购买预售、现售商品住房提取公积金支付首期款业务，缴存人及配偶累计提取总额不超过该房屋首期款，资金纳入商品房预售款监管账户或存量房交易资金监管账户，无需先自筹垫付。,,
清远,广东省,提取,代际互助,有条件支持,父母子女须联名购房或为共同借款人，按产权份额或份额内提取；非产权人的父母不能因子女购房提取 公积金中心明确判断能否提取看是否拥有房屋所有权，父母不拥有子女房屋所有权的不能提取其公积金；父母与子女联名购房的可作为共同借款人或共同申请人，在份额内提取并申请公积金贷款。,,
清远,广东省,提取,按月冲还商贷,不支持,"清远""按月冲还贷""业务仅针对公积金贷款；商贷不可办理按月对冲，仅可开通""按揭购房约定提取""，其自动划转为每6个月一次（手动划转可每月操作但非委托自动），不属于商贷按月委托提取。",,
清远,广东省,提取,物业费提取,未确认,现行《清远市住房公积金提取业务办事指南》列举的13项提取情形中，住房消费类为购买建造翻建大修自住住房、租房自住、既有住宅加装电梯、既有住宅老旧电梯更新改造、购买一手商品住房缴付契税、缴付物业专项维修基金，不含物业费。截至查证日清远未出台物业费提取细则，仅国家条例层面授权（2026年9月20日施行），本地暂不能办。,,
清远,广东省,提取,住房装修提取,不支持,不允许。清远市住房公积金管理中心《清远市住房公积金提取业务办事指南》在不得提取住房公积金情形中明确列明：缴存人以购置商铺、车位、新房装修、改善型装修及非购房贷款等原因申请提取的，不得提取。清远市12345于2026年1月22日答复亦明确房屋装修不能申请住房公积金贷款或提取，房屋装修与非居住用途房产均不在可提取范围。,,
清远,广东省,缴存-灵活就业,支持,,清远市人民政府门户网站《清远市个人自愿缴存使用住房公积金管理办法》政策解读,https://www.gdqy.gov.cn/channel/qysgjj/zcfg/zcjd/content/post_1888752.html,2024-06
清远,广东省,缴存-缓缴,支持,生产经营亏损的企业，经职工代表大会或工会讨论通过可申请缓缴。,清远市12345政务服务便民热线《清远市住房公积金缴存、提取管理办法》(自2024年6月1日起施行),https://12345.gdqy.gov.cn/201809/page/km/FAQ/faqDetail.html?klpId=875348&page=33,2024-06
海口,海南省,贷款,单双职工额度差异,支持,,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
海口,海南省,贷款,首套二套额度差异,不支持,,https://haikou.bendibao.com/live/2017511/40022.shtm,其他新闻
海口,海南省,贷款,绿色建筑上浮,支持,,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
海口,海南省,贷款,二孩家庭上浮,支持,,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
海口,海南省,贷款,三孩家庭上浮,支持,,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
海口,海南省,贷款,人才青年上浮,支持,,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
海口,海南省,贷款,家庭共享额度代际互助,支持,,https://www.hainan.gov.cn/hainan/zxxx/202604/c0b9084570694e4a8ce91e1f175640cc.shtml,政府网站
海口,海南省,贷款,商转公,支持,,https://gjj.hainan.gov.cn/hngjj/gfxwj/202511/9e1c5c715a8a46918ffbea68716d81ed.shtml,政府网站
海口,海南省,贷款,最长贷龄30年,支持,,https://gjj.hainan.gov.cn/hngjj/0400/202503/647c7df7b2a24a69bff28d5113cdd5b7.shtml,政府网站
海口,海南省,提取,购房一次性提取,有条件支持,须自购房合同备案或取得不动产权证之日起1年内提出；按揭贷款购房的提取额不超过合同约定的首付款，全额付款的不超过购房款。 购新房自合同备案起1年内、二手房自取得不动产权证起1年内可一次性提取账户余额；按揭购房提取额不超过首付款，全款购房不超过购房款。,,
海口,海南省,提取,租房提取限额,支持,海口属海口、三亚档：租赁已登记备案住房上限1500元/月/人，未备案900元/月/人；按实际租金据实提取且不超限额，新市民青年人备案后可全额提取本人月缴存额。,,
海口,海南省,提取,多孩租房上浮,支持,养育两个及以上未成年子女的家庭，以家庭为单位在最高提取限额基础上增加300元/月；夫妻双方均办理租房提取的，指定一方增加最高提取限额。,,
海口,海南省,提取,加装电梯提取,支持,自取得电梯特种设备使用登记证之日起1年内，房屋产权人本人、配偶及其子女、子女配偶可申请提取；额度不超过个人分摊的建设费用，已纳入政府改造的扣减财政奖补。,,
海口,海南省,提取,车位购置提取,不支持,提取范围不含购买车位/车库；公积金贷款亦明确车位等非住宅性质房产不予受理；还贷提取时购房贷款含车位贷的须剔除车位部分后计算可提取额。,,
海口,海南省,提取,大病救助提取,支持,缴存人、配偶或未成年子女大病住院，经医保报销后个人实际支付费用一个自然年度内累计超1万元的，可按实际支付额提取，自2025年12月1日起施行。,,
海口,海南省,提取,既提又贷,支持,按揭购房可同时申请公积金贷款并办理购房提取，提取额不超过合同约定的首付款；首付比例首套二套统一20%、保障性住房15%，已有未结清公积金贷款的仅限就该套房提取。,,
海口,海南省,提取,首付直付,有条件支持,限本省新建商品住房和保障性住房，且购房人及其配偶无未结清住房公积金贷款。 签订合同并办理备案后可申请提取，公积金机构将资金直接支付给开发企业，属预售房屋代付至预售资金监管账户，无需先垫付后报销。,,
海口,海南省,提取,代际互助,有条件支持,限子女在我省购买家庭首套新建商品房或二手自住住房，须优先提取子女家庭余额、不足部分方可提取父母账户。 父母可提取公积金支持子女购买首套住房支付购房款，父母与子女家庭累计提取不超过已支付购房款；购房人配偶的父母可参照办理，2026年4月起施行。,,
海口,海南省,提取,按月冲还商贷,有条件支持,须为本省（海南）自住住房商贷、贷款银行为已开通商贷约提的指定银行（第一批10家），且家庭有未结清公积金贷款时仅限组合贷中的商贷部分 海南（含海口）推行'商贷约提'，委托按月将公积金划转至还款账户用于偿还商贷，划款日每月15日。须为本省自住住房商贷、贷款银行为已开通商贷约提的指定银行，且家庭有未结清公积金贷款时仅限组合贷中的商贷部分。,,
海口,海南省,提取,物业费提取,支持,海南全省统一政策，海口适用省局文件。缴存人家庭在省内无未结清公积金贷款（或有未结清贷款但提取后家庭账户余额之和足够偿还3个月贷款）的，每年可提取一次，用于支付家庭名下海南省内任意一套自住住房的物业费（不含自建房及商铺、办公用房、产权式酒店等）。额度＝建筑面积×物业费单价×12；单价低于2元/㎡按2元、2—4元按实际、高于4元按4元核定。,,
海口,海南省,提取,住房装修提取,不支持,"海南全省统一政策。现行《海南省住房公积金管理局住房公积金提取业务操作规程》(2026年8月17日印发)第六条部分提取情形仅8类——购房、建造翻建大修、还贷、租房、老旧小区加装电梯、不可预见灾难、大病致困、支付物业费，不含装修。海南省12345热线2026年6月答复明确""装修不可申请提取公积金""。仅可大修提取，须提供C级或D级房屋安全鉴定报告。",,
海口,海南省,缴存-灵活就业,支持,,海南省人民政府网《我省推进灵活就业人员参加住房公积金制度》（2025-07，依据《海南省灵活就业人员参加住房公积金制度管理办法》）,https://www.hainan.gov.cn/hainan/ldjytj/202507/ddaccf41fec64a369fb084a954c45035.shtml,2025-07
海口,海南省,缴存-缓缴,支持,,海南省住房公积金管理局《关于住房公积金缓缴、调低缴存比例的通知》（2023-03-29）,https://gjj.hainan.gov.cn/hngjj/0503/202303/ba1dc22c034641e29cb3cd40f689b00c.shtml,2023-03
三亚,海南省,贷款,单双职工额度差异,支持,单方缴存最高100万元、夫妻双方缴存最高120万元,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
三亚,海南省,贷款,首套二套额度差异,不支持,首套、二套最高贷款基准额度相同（单方100万、双方120万），仅二套存贷挂钩余额倍数不同,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
三亚,海南省,贷款,绿色建筑上浮,支持,购买二星级及以上绿色建筑新建自住住房贷款额度上浮10%,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
三亚,海南省,贷款,二孩家庭上浮,支持,二孩及以上多子女家庭贷款额度上浮20%（单方120万、双方144万）,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
三亚,海南省,贷款,三孩家庭上浮,支持,二孩及以上多子女家庭（含三孩）贷款额度上浮20%,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
三亚,海南省,贷款,人才青年上浮,支持,高层次人才A-E类贷款额度上浮20%,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
三亚,海南省,贷款,家庭共享额度代际互助,支持,父母可提取公积金支持子女购买家庭首套住房，构建家庭代际互助格局,https://www.hainan.gov.cn/hainan/zxxx/202604/c0b9084570694e4a8ce91e1f175640cc.shtml,政府网站
三亚,海南省,贷款,商转公,支持,海南省公积金贷款政策支持商业贷款转公积金贷款,https://gjj.hainan.gov.cn/hngjj/zcjd/202607/25bc7867d1924718a2ff4d491d657ca5.shtml,政府网站
三亚,海南省,贷款,最长贷龄30年,支持,购买商品房、保障性住房最长贷款期限30年，且贷款到期日不超法定退休后5年,https://gjj.hainan.gov.cn/hngjj/0400/202503/647c7df7b2a24a69bff28d5113cdd5b7.shtml,政府网站
三亚,海南省,提取,购房一次性提取,有条件支持,须自购房合同备案或取得不动产权证之日起1年内提出；按揭贷款购房的提取额不超过合同约定的首付款，全额付款的不超过购房款。 购新房自合同备案起1年内、二手房自取得不动产权证起1年内可一次性提取账户余额；按揭购房提取额不超过首付款，全款购房不超过购房款。,,
三亚,海南省,提取,租房提取限额,支持,三亚与海口同档：租赁已登记备案住房上限1500元/月/人，未备案900元/月/人；按实际租金据实提取且不超限额，新市民青年人备案后可全额提取本人月缴存额。,,
三亚,海南省,提取,多孩租房上浮,支持,养育两个及以上未成年子女的家庭，以家庭为单位在最高提取限额基础上增加300元/月；夫妻双方均办理租房提取的，指定一方增加最高提取限额。,,
三亚,海南省,提取,加装电梯提取,支持,自取得电梯特种设备使用登记证之日起1年内，房屋产权人本人、配偶及其子女、子女配偶可申请提取；额度不超过个人分摊的建设费用，已纳入政府改造的扣减财政奖补。,,
三亚,海南省,提取,车位购置提取,不支持,提取范围不含购买车位/车库；公积金贷款亦明确车位等非住宅性质房产不予受理；还贷提取时购房贷款含车位贷的须剔除车位部分后计算可提取额。,,
三亚,海南省,提取,大病救助提取,支持,缴存人、配偶或未成年子女大病住院，经医保报销后个人实际支付费用一个自然年度内累计超1万元的，可按实际支付额提取，自2025年12月1日起施行。,,
三亚,海南省,提取,既提又贷,支持,按揭购房可同时申请公积金贷款并办理购房提取，提取额不超过合同约定的首付款；首付比例首套二套统一20%、保障性住房15%，已有未结清公积金贷款的仅限就该套房提取。,,
